Event_Name,Event_Client_Id,Venue_Name,Event_Date,Event_Time,as_of_date,unique_views,order_qty,tkt_qty
Canucks vs. Stars,11005B3CECF82D6E,Rogers Arena,2022-04-18,19:30,2022-02-23,54,1,4
Canucks vs. Coyotes,11005EDDB61B30DB,Rogers Arena,2024-04-10,19:30,2023-12-23,90,1,3
Canucks vs. Coyotes,11005723A110317B,Rogers Arena,2020-03-04,19:30,2019-12-02,40,1,2
Canucks vs. Blackhawks,11005724CCE93AFC,Rogers Arena,2020-02-12,19:30,2019-10-13,74,1,2
Canucks vs. Ducks,11005EDDB61530D3,Rogers Arena,2024-03-31,12:30,2023-09-13,22,1,2
Canucks vs. Avalanche,11005EDDB6023093,Rogers Arena,2024-03-13,19:30,2024-02-29,580,0,0
Canucks vs. Predators,11005D05E8A75307,Rogers Arena,2023-03-06,19:30,2022-09-25,11,0,0
Cancelled ticket due to 50% capacity Canucks vs Islanders,11005B3CECC12C4A,Rogers Arena,2022-02-09,19:30,2022-01-12,6,0,0
Cancelled ticket due to 50% capacity Canucks vs Islanders,11005B3CECC12C4A,Rogers Arena,2022-02-09,19:30,2022-01-06,50,0,0
Canucks vs. Coyotes,11005723A110317B,Rogers Arena,2020-03-04,19:30,2019-10-20,16,0,0
Canucks vs. Blackhawks,11005724CCE93AFC,Rogers Arena,2020-02-12,19:30,2019-11-21,43,0,0
Canucks vs. Blackhawks,11005724CCE93AFC,Rogers Arena,2020-02-12,19:30,2019-10-28,125,0,0
Canucks vs. Leafs,11005D05E8A552FD,Rogers Arena,2023-03-04,16:00,2022-10-30,140,0,0
Canucks vs. Ducks,1100572384081F45,Rogers Arena,2020-02-16,14:00,2019-11-20,81,0,0
Canucks vs. Blackhawks,11005B3CED1D2D94,Rogers Arena,2021-11-21,17:00,2021-12-08,4,0,0
Canucks vs. Bruins,11005B3CED252D9F,Rogers Arena,2021-12-08,18:00,2021-10-10,57,0,0
Canucks vs. Kings,11005EDDB61030CC,Rogers Arena,2024-03-25,18:00,2023-10-16,29,0,0
Canucks vs. Kings,11005EDDB61030CC,Rogers Arena,2024-03-25,18:00,2023-09-04,12,0,0
Canucks vs. Canadiens,11005D05E8E95390,Rogers Arena,2022-12-05,19:30,2023-02-05,0,0,0
Canucks vs. Canadiens,11005B3CECD72C81,Rogers Arena,2022-03-09,19:30,2022-03-28,0,0,0
Canucks vs. Blackhawks,11005724CCE93AFC,Rogers Arena,2020-02-12,19:30,2020-04-23,0,0,0
Canucks vs. Kings,11005EDDB5FC3087,Rogers Arena,2024-02-29,19:00,2024-03-12,5,0,0
Canucks vs. Flyers,11005EDDB65E319B,Rogers Arena,2023-12-28,19:00,2024-01-06,7,0,0
Canucks vs. Ducks,11005B3CED352DAF,Rogers Arena,2022-02-19,19:00,2022-01-08,7,0,0
