Event_Name,Event_Client_Id,Venue_Name,Event_Date,Event_Time,as_of_date,unique_views,order_qty,tkt_qty
Cancelled ticket due to 50% capacity Canucks vs Panthers,11005B3CECCB2C77,Rogers Arena,2022-01-21,19:00,2022-01-14,222,0,0
Canucks vs. Seattle Kraken,11005EDDB63D315B,Rogers Arena,2023-11-18,19:00,2023-08-11,82,0,0
Canucks vs. Ducks,11005EDDB643315F,Rogers Arena,2023-11-28,19:00,2023-08-10,29,0,0
Canucks vs. Sharks,11005D05E8B4531A,Rogers Arena,2023-03-23,19:00,2022-09-28,12,0,0
Canucks vs. Sharks,11005EDDB640315D,Rogers Arena,2023-11-20,19:00,2023-07-26,37,0,0
Canucks vs. Flames,11005D05E8B6531F,Rogers Arena,2023-03-31,19:00,2022-09-20,36,0,0
Canucks vs. Flames,11005D05E8C15331,Rogers Arena,2023-04-08,19:00,2022-11-23,36,0,0
Canucks vs. Oilers,11005D05E89152CB,Rogers Arena,2023-01-21,19:00,2023-02-07,3,0,0
Canucks vs. Stars,11005D05E8AF5310,Rogers Arena,2023-03-14,19:00,2023-03-28,2,0,0
Canucks vs. Sharks,11005D05E8B4531A,Rogers Arena,2023-03-23,19:00,2023-03-29,1,0,0
Canucks vs. Ducks,11005EDDB643315F,Rogers Arena,2023-11-28,19:00,2024-04-13,1,0,0
Canucks vs. Sabres,11005D05E8CB533C,Rogers Arena,2022-10-22,19:00,2022-11-01,1,0,0
Canucks vs. Panthers,11005B95FC1E40FB,Rogers Arena,2022-01-21,19:00,2022-02-15,0,0,0
Canucks vs. Sharks,11005D05E8B4531A,Rogers Arena,2023-03-23,19:00,2023-05-30,0,0,0
Canucks vs. Kings,11005B3CED222D9D,Rogers Arena,2021-12-06,19:00,2022-01-30,0,0,0
Canucks vs. Kings,11005B3CECFD2D76,Rogers Arena,2022-04-28,19:00,2022-06-01,0,0,0
Canucks vs. Flames,11005D05E8C15331,Rogers Arena,2023-04-08,19:00,2023-06-27,0,0,0
Canucks vs. Flames,11005D05E8C15331,Rogers Arena,2023-04-08,19:00,2023-09-17,0,0,0
Canucks vs. Ducks,1100572384171F50,Rogers Arena,2022-03-15,19:00,2020-05-18,0,0,0
Canucks vs. Vegas Golden Knights,11005EDDB61830D9,Rogers Arena,2024-04-08,19:00,2023-11-19,52,3,6
Canucks vs. Coyotes,11005EDDB61B30DB,Rogers Arena,2024-04-10,19:00,2024-01-27,282,11,21
Canucks vs. Coyotes,11005EDDB61B30DB,Rogers Arena,2024-04-10,19:00,2023-10-14,12,0,0
Canucks vs. Coyotes,11005EDDB61B30DB,Rogers Arena,2024-04-10,19:30,2024-03-22,249,1,3
Canucks vs. Jets,11005EDDB5FF308C,Rogers Arena,2024-03-09,19:00,2024-01-03,122,1,2
Canucks vs. Kings,11005EDDB61030CC,Rogers Arena,2024-03-25,18:00,2024-01-21,215,8,28
Canucks vs. Wings,11005EDDB5F1305E,Rogers Arena,2024-02-15,19:00,2024-01-21,435,0,0
Canucks vs. Vegas Golden Knights,11005EDDB61830D9,Rogers Arena,2024-04-08,19:00,2024-02-17,186,1,3
Canucks vs. Ducks,11005EDDB61530D3,Rogers Arena,2024-03-31,12:30,2024-03-24,501,0,0
Canucks vs. Flames,11005EDDB60D30B2,Rogers Arena,2024-03-23,19:00,2024-02-22,202,0,0
Canucks vs. Flames,11005EDDB60D30B2,Rogers Arena,2024-03-23,19:00,2024-01-10,170,4,14
Canucks vs. Canadiens,11005EDDB60A30A4,Rogers Arena,2024-03-21,19:00,2023-11-23,120,2,4
Canucks vs. Vegas Golden Knights,11005D05E8B15316,Rogers Arena,2023-03-21,19:00,2023-03-08,388,5,12
Canucks vs. Flames,11005EDDB60D30B2,Rogers Arena,2024-03-23,19:00,2023-11-14,105,4,8
Canucks vs. Sabres,11005D05E8CB533C,Rogers Arena,2022-10-22,19:00,2022-09-04,259,8,28
Canucks vs. Flames,1100552677CB31A6,Rogers Arena,2019-03-23,19:00,2019-02-02,105,4,12
Canucks vs. Devils,11005B3CECDF2D4E,Rogers Arena,2022-03-15,19:00,2022-02-19,177,7,25
Canucks vs. Coyotes,110056FDD5B33CCE,Rogers Arena,2019-09-26,19:00,2019-08-07,27,3,11
Canucks vs. Blue Jackets,11005EDDB5EE305A,Rogers Arena,2024-01-27,19:00,2023-11-09,161,5,12
Canucks vs. Stars,11005D05E8AF5310,Rogers Arena,2023-03-14,19:00,2023-03-14,3133,55,88
Canucks vs. Vegas Golden Knights,11005723A141322D,Rogers Arena,2019-12-19,19:00,2019-11-27,166,6,18
Canucks vs. Sabres,11005D05E8CB533C,Rogers Arena,2022-10-22,19:00,2022-09-26,501,13,34
Canucks vs. Ducks,1100572384171F50,Rogers Arena,2022-03-15,19:00,2020-01-29,95,7,17
Canucks vs. Flames,11005EDDB60D30B2,Rogers Arena,2024-03-23,19:00,2023-12-06,152,5,24
Canucks vs Kraken Moving to 50 percent capacity-Updates in progress,11005B3CED392DB1,Rogers Arena,2021-12-27,19:00,2021-11-02,433,6,16
Canucks vs. Vegas Golden Knights,11005D05E8B15316,Rogers Arena,2023-03-21,19:00,2023-02-17,224,5,13
Canucks vs. Penguins,11005724CCF73B0D,Rogers Arena,2019-12-21,19:00,2019-12-05,234,3,8
Canucks vs. Ducks,1100572384171F50,Rogers Arena,2022-03-15,19:00,2020-01-30,103,5,17
Canucks vs. Capitals,11005B3CECDA2D0F,Rogers Arena,2022-03-11,19:00,2021-10-28,61,3,8
Canucks vs. Kings,11005724C2E637CE,Rogers Arena,2019-12-28,19:00,2019-12-17,393,22,55
Canucks vs. Devils,11005D05E8D4534E,Rogers Arena,2022-11-01,19:00,2022-11-01,1889,20,37
Canucks vs. Capitals,11005B3CECDA2D0F,Rogers Arena,2022-03-11,19:00,2021-11-13,51,3,10
Canucks vs. Canadiens,11005EDDB60A30A4,Rogers Arena,2024-03-21,19:00,2023-09-06,69,3,8
Canucks vs. Blackhawks,11005D05E8BE532E,Rogers Arena,2023-04-06,19:00,2022-11-06,22,2,7
Canucks vs. Bruins,11005724CCEE3B00,Rogers Arena,2020-02-22,19:00,2020-01-07,205,2,7
Canucks vs. Flames,11005B3CECE42D5E,Rogers Arena,2022-03-19,19:00,2021-10-29,53,2,5
Canucks vs. Islanders,11005EDDB63A314A,Rogers Arena,2023-11-15,19:00,2023-09-15,55,2,6
Canucks vs. Ducks,11005EDDB643315F,Rogers Arena,2023-11-28,19:00,2023-09-29,50,2,6
Canucks vs. Canadiens,11005EDDB60A30A4,Rogers Arena,2024-03-21,19:00,2023-10-31,112,2,4
Canucks vs. Jets,11005EDDB5FF308C,Rogers Arena,2024-03-09,19:00,2023-07-30,9,1,2
Canucks vs. Canadiens,11005EDDB60A30A4,Rogers Arena,2024-03-21,19:00,2024-01-31,296,1,2
Canucks vs. Capitals,11005D05E8E1537C,Rogers Arena,2022-11-29,19:00,2022-09-09,49,1,2
Canucks vs. Stars,1100552676892A23,Rogers Arena,2019-03-30,19:00,2019-02-15,42,1,2
Canucks vs. Devils,1100552676832A0F,Rogers Arena,2019-03-15,19:00,2019-01-15,37,1,2
Canucks vs. Jets,11005EDDB5FF308C,Rogers Arena,2024-03-09,19:00,2023-08-19,12,1,3
Canucks vs. Kings,1100552677662EAC,Rogers Arena,2019-03-28,19:00,2019-01-18,32,1,3
Canucks vs. Penguins,11005EDDB5F9307D,Rogers Arena,2024-02-27,19:00,2023-09-02,18,1,4
Canucks vs. Sharks,11005EDDB640315D,Rogers Arena,2023-11-20,19:00,2023-07-29,19,1,4
Canucks vs. Wings,11005D05E89952E7,Rogers Arena,2023-02-13,19:00,2022-10-13,43,1,1
Canucks vs. Vegas Golden Knights,11005D05E8B15316,Rogers Arena,2023-03-21,19:00,2022-12-05,66,1,6
Canucks vs. Blackhawks,11005B3CED1D2D94,Rogers Arena,2021-11-21,17:00,2021-10-13,252,7,21
Cancelled ticket due to 50% capacity Canucks vs Maple Leafs,11005B3CED2F2DAB,Rogers Arena,2022-02-12,16:00,2021-10-21,458,7,21
Canucks vs. Devils,11005723A1303213,Rogers Arena,2019-11-10,13:00,2019-10-03,147,8,20
Canucks vs. Leafs,11005D05E8A552FD,Rogers Arena,2023-03-04,16:00,2022-08-31,1085,64,173
Canucks vs. Kings,11005EDDB61030CC,Rogers Arena,2024-03-25,18:00,2023-11-22,99,10,34
Canucks vs. Canadiens,11005D05E8E95390,Rogers Arena,2022-12-05,19:30,2022-10-15,210,11,27
Canucks vs. Vegas Golden Knights,11005B3CECED2D64,Rogers Arena,2022-04-03,16:00,2022-03-12,303,6,23
Cancelled ticket due to 50% capacity Canucks vs Islanders,11005B3CECC12C4A,Rogers Arena,2022-02-09,19:30,2021-11-13,103,6,20
Canucks vs. Leafs,11005EDDB5E63009,Rogers Arena,2024-01-20,16:00,2023-08-15,177,4,8
Canucks vs. Avalanche,11005EDDB6023093,Rogers Arena,2024-03-13,19:30,2023-11-26,107,4,8
Canucks vs. Bruins,11005D05E8A052F1,Rogers Arena,2023-02-25,16:00,2022-09-24,76,4,12
Canucks vs. Coyotes,11005EDDB61B30DB,Rogers Arena,2024-04-10,19:30,2023-11-20,48,2,4
Cancelled ticket due to 50% capacity Canucks vs Islanders,11005B3CECC12C4A,Rogers Arena,2022-02-09,19:30,2021-10-23,92,2,4
Canucks vs. Coyotes,11005EDDB61B30DB,Rogers Arena,2024-04-10,19:30,2024-02-11,163,2,5
Canucks vs. Canadiens,11005D05E8E95390,Rogers Arena,2022-12-05,19:30,2022-11-12,287,2,5
Canucks vs. Leafs,11005EDDB5E63009,Rogers Arena,2024-01-20,16:00,2023-10-12,408,2,5
Canucks vs. Kings,11005D05E8B95325,Rogers Arena,2023-04-02,17:00,2022-10-24,30,1,5
Canucks vs. Wild,11005723A10D3177,Rogers Arena,2020-02-19,19:30,2019-09-10,51,0,0
Canucks vs. Bruins,11005EDDB5F63078,Rogers Arena,2024-02-24,16:00,2024-03-18,2,0,0
Canucks vs. Leafs,11005D05E8A552FD,Rogers Arena,2023-03-04,16:00,2022-10-10,233,0,0
Canucks vs. Ducks,11005EDDB61530D3,Rogers Arena,2024-03-31,12:30,2024-03-02,262,0,0
Canucks vs. Jets,1100572384121F4E,Rogers Arena,2022-03-11,17:00,2020-03-22,0,0,0
Canucks vs. Ducks,11005B3CED352DAF,Rogers Arena,2022-02-19,19:00,2022-01-16,6,0,0
Canucks vs. Blue Jackets,11005723A1143199,Rogers Arena,2020-03-08,19:00,2019-09-28,5,0,0
Canucks vs. Devils,1100552676832A0F,Rogers Arena,2019-03-15,19:00,2018-10-31,8,0,0
Canucks vs. Ducks,11005EDDB643315F,Rogers Arena,2023-11-28,19:00,2023-07-29,13,0,0
Canucks vs. Sabres,11005B3CECE72D60,Rogers Arena,2022-03-20,19:00,2022-03-24,13,0,0
Canucks vs. Islanders,11005723A11831B0,Rogers Arena,2020-03-10,19:00,2019-10-13,13,0,0
Canucks vs. Stars,11005D05E8AF5310,Rogers Arena,2023-03-14,19:00,2022-09-15,16,0,0
Canucks vs. Blue Jackets,11005EDDB5EE305A,Rogers Arena,2024-01-27,19:00,2023-08-08,14,0,0
Canucks vs. Predators,1100572384031F43,Rogers Arena,2020-02-10,19:00,2019-10-24,28,0,0
Canucks vs. Hurricanes,11005EDDB64E3189,Rogers Arena,2023-12-09,19:00,2023-08-02,25,0,0
Canucks vs. Jets,11005B3CED1B2D91,Rogers Arena,2021-11-19,19:00,2021-11-20,40,0,0
Canucks vs. Blue Jackets,11005EDDB5EE305A,Rogers Arena,2024-01-27,19:00,2024-01-29,33,0,0
Canucks vs. Predators,1100572384031F43,Rogers Arena,2020-02-10,19:00,2019-11-02,35,0,0
Canucks vs. Coyotes,11005D05E8E6538E,Rogers Arena,2022-12-03,19:00,2022-09-13,54,0,0
Canucks vs. Stars,11005EDDB6353133,Rogers Arena,2023-11-04,19:00,2023-07-25,71,0,0
Canucks vs. Coyotes,11005B3CECF52D6C,Rogers Arena,2022-04-14,19:00,2022-02-17,79,0,0
Canucks vs. Kings,11005EDDB5FC3087,Rogers Arena,2024-02-29,19:00,2024-02-07,360,0,0
Canucks vs Kraken Moving to 50 percent capacity-Updates in progress,11005B3CED392DB1,Rogers Arena,2021-12-27,19:00,2021-10-11,224,0,0
Canucks vs. Ducks,11005EDDB643315F,Rogers Arena,2023-11-28,19:00,2023-08-02,25,0,0
Canucks vs. Ducks,1100572384171F50,Rogers Arena,2022-03-15,19:00,2020-01-16,80,0,0
Canucks vs. Vegas Golden Knights,11005723841C1F52,Rogers Arena,2022-03-16,19:00,2020-03-10,241,0,0
Canucks vs. Vegas Golden Knights,11005EDDB61830D9,Rogers Arena,2024-04-08,19:00,2024-02-25,304,0,0
Canucks vs. Sharks,11005724C2C437A5,Rogers Arena,2020-01-18,19:00,2019-10-03,52,0,0
Canucks vs. Flames,1100552677CB31A6,Rogers Arena,2019-03-23,19:00,2019-03-31,5,0,0
Canucks vs. Flames,11005EDDB60D30B2,Rogers Arena,2024-03-23,19:00,2023-08-22,21,0,0
Canucks vs. Flames,11005EDDB61D30E0,Rogers Arena,2024-04-16,19:00,2023-08-26,9,0,0
Canucks vs. Devils,11005D05E8D4534E,Rogers Arena,2022-11-01,19:00,2022-11-15,3,0,0
Canucks vs. Jets,11005B3CED1B2D91,Rogers Arena,2021-11-19,19:00,2021-12-09,3,0,0
Canucks vs. Panthers,11005EDDB6553192,Rogers Arena,2023-12-14,19:00,2023-12-22,2,0,0
Canucks vs. Jets,11005B3CED1B2D91,Rogers Arena,2021-11-19,19:00,2021-12-05,2,0,0
Canucks vs. Rangers,11005724C2BF37A3,Rogers Arena,2020-01-04,19:00,2020-01-14,2,0,0
Canucks vs. Flames,11005B3CECE42D5E,Rogers Arena,2022-03-19,19:00,2022-04-08,1,0,0
Canucks vs. Vegas Golden Knights,11005EDDB6463163,Rogers Arena,2023-11-30,19:00,2023-12-22,1,0,0
Canucks vs. Oilers,11005724C2E037CA,Rogers Arena,2019-12-23,19:00,2020-01-15,1,0,0
Canucks vs. Seattle Kraken,11005B3CECFA2D71,Rogers Arena,2022-04-26,19:00,2022-05-07,1,0,0
Canucks vs. Senators,11005B95FC1B40F9,Rogers Arena,2022-04-19,19:00,2022-05-13,1,0,0
Canucks vs. Blue Jackets,11005B3CED2C2DA9,Rogers Arena,2021-12-14,19:00,2022-01-06,1,0,0
Canucks vs. Stars,11005723A1383227,Rogers Arena,2019-11-14,19:00,2019-11-26,1,0,0
Canucks vs. Leafs,11005724CCF33B08,Rogers Arena,2019-12-10,19:00,2020-02-27,0,0,0
Canucks vs. Islanders,11005EDDB63A314A,Rogers Arena,2023-11-15,19:00,2023-12-16,0,0,0
Canucks vs. Stars,11005B3CED132D8A,Rogers Arena,2021-11-07,19:00,2021-12-08,0,0,0
Canucks vs. Stars,11005B3CED132D8A,Rogers Arena,2021-11-07,19:00,2022-06-09,0,0,0
Canucks vs. Jets,11005B3CED272DA1,Rogers Arena,2021-12-10,19:00,2022-04-28,0,0,0
Canucks vs. Predators,11005D05E8D95352,Rogers Arena,2022-11-05,19:00,2022-12-14,0,0,0
Canucks vs. Coyotes,11005B3CECF52D6C,Rogers Arena,2022-04-14,19:00,2022-08-10,0,0,0
Canucks vs. Oilers,11005B3CED0C2D83,Rogers Arena,2021-10-30,19:00,2021-12-11,0,0,0
Canucks vs. Oilers,11005D05E89152CB,Rogers Arena,2023-01-21,19:00,2023-02-27,0,0,0
Canucks vs. Wings,11005EDDB5F1305E,Rogers Arena,2024-02-15,19:00,2023-11-19,86,2,6
Canucks vs. Sharks,11005EDDB640315D,Rogers Arena,2023-11-20,19:00,2023-11-19,1251,7,26
Canucks vs. Avalanche,11005EDDB6023093,Rogers Arena,2024-03-13,19:00,2023-07-31,9,0,0
Canucks vs. Sharks,11005EDDB6593198,Rogers Arena,2023-12-23,19:00,2023-12-08,402,1,2
Canucks vs. Wings,11005EDDB5F1305E,Rogers Arena,2024-02-15,19:00,2023-12-16,201,7,22
Canucks vs. Canadiens,11005EDDB60A30A4,Rogers Arena,2024-03-21,19:00,2023-12-11,70,0,0
Canucks vs. Flames,11005EDDB60D30B2,Rogers Arena,2024-03-23,19:00,2023-11-27,129,3,9
Canucks vs. Blue Jackets,11005EDDB5EE305A,Rogers Arena,2024-01-27,19:00,2023-11-23,138,3,9
Canucks vs. Vegas Golden Knights,11005EDDB61830D9,Rogers Arena,2024-04-08,19:00,2024-01-30,186,5,12
Canucks vs. Kings,11005EDDB5FC3087,Rogers Arena,2024-02-29,19:00,2024-01-22,465,6,17
Canucks vs. Lightning,11005723A11C31CD,Rogers Arena,2022-03-11,19:00,2020-01-06,92,3,7
Canucks vs. Wild,11005D05E8A252F5,Rogers Arena,2023-03-02,19:00,2023-02-26,586,12,32
Canucks vs. Blues,11005B3CECE92D62,Rogers Arena,2022-03-30,19:00,2022-03-22,482,16,46
Canucks vs. Senators,11005EDDB5DF2FF6,Rogers Arena,2024-01-02,19:00,2023-10-18,114,4,12
Canucks vs. Oilers,11005724C2D637C4,Rogers Arena,2019-12-01,19:00,2019-10-30,261,12,36
Canucks vs. Stars,11005D05E8AF5310,Rogers Arena,2023-03-14,19:00,2022-12-21,53,2,8
Canucks vs. Sabres,11005D05E8CB533C,Rogers Arena,2022-10-22,19:00,2022-09-23,335,4,13
Canucks vs. Flyers,11005EDDB65E319B,Rogers Arena,2023-12-28,19:00,2023-09-27,115,3,7
Canucks vs. Sharks,11005D05E8F853AC,Rogers Arena,2022-12-27,19:00,2022-09-13,74,3,12
Canucks vs. Senators,1100572383F51F36,Rogers Arena,2019-12-03,19:00,2019-11-11,93,3,6
Canucks vs. Vegas Golden Knights,11005B3CECF32D6A,Rogers Arena,2022-04-12,19:00,2022-02-11,27,3,12
Canucks vs. Blackhawks,1100572383FE1F3F,Rogers Arena,2020-01-02,19:00,2020-01-02,985,20,49
Canucks vs. Flames,1100552677CB31A6,Rogers Arena,2019-03-23,19:00,2019-03-01,211,7,19
Canucks vs. Blues,11005B3CECE92D62,Rogers Arena,2022-03-30,19:00,2022-03-30,1702,45,77
Canucks vs. Wings,11005B3CECE12D5C,Rogers Arena,2022-03-17,19:00,2022-02-20,191,5,14
Canucks vs. Lightning,11005723A11C31CD,Rogers Arena,2022-03-11,19:00,2019-12-07,54,4,17
Canucks vs. Sharks,11005526768F2A33,Rogers Arena,2019-04-02,19:00,2019-03-14,123,5,15
Canucks vs. Predators,11005D05E8D95352,Rogers Arena,2022-11-05,19:00,2022-10-10,273,12,35
Canucks vs. Jets,11005D05E8EE53A3,Rogers Arena,2022-12-17,19:00,2022-10-30,125,6,20
Canucks vs. Kings,11005EDDB5FC3087,Rogers Arena,2024-02-29,19:00,2024-01-08,254,5,11
Cancelled ticket due to 50% capacity Canucks vs Panthers,11005B3CECCB2C77,Rogers Arena,2022-01-21,19:00,2021-10-23,60,4,13
Canucks vs. Ducks,11005EDDB643315F,Rogers Arena,2023-11-28,19:00,2023-11-17,779,17,44
Canucks vs. Stars,11005EDDB6353133,Rogers Arena,2023-11-04,19:00,2023-07-18,323,8,16
Canucks vs. Islanders,11005D05E88352B7,Rogers Arena,2023-01-03,19:00,2022-11-16,118,2,7
Canucks vs. Panthers,11005EDDB6553192,Rogers Arena,2023-12-14,19:00,2023-10-25,124,2,5
Canucks vs. Jets,11005EDDB5FF308C,Rogers Arena,2024-03-09,19:00,2023-11-19,90,2,6
Canucks vs. Islanders,11005EDDB63A314A,Rogers Arena,2023-11-15,19:00,2023-09-21,84,2,4
Canucks vs. Capitals,11005EDDB6053099,Rogers Arena,2024-03-16,19:00,2023-07-30,25,1,2
Canucks vs. Wild,11005D05E8EB5398,Rogers Arena,2022-12-10,19:00,2022-10-03,83,1,2
Canucks vs. Stars,1100552676892A23,Rogers Arena,2019-03-30,19:00,2019-01-07,37,1,2
Canucks vs. Flames,11005EDDB60D30B2,Rogers Arena,2024-03-23,19:00,2023-08-03,13,1,2
Canucks vs. Islanders,11005EDDB63A314A,Rogers Arena,2023-11-15,19:00,2023-08-03,38,1,2
Canucks vs. Kings,11005EDDB5FC3087,Rogers Arena,2024-02-29,19:00,2023-08-20,9,1,2
Canucks vs. Sharks,11005EDDB640315D,Rogers Arena,2023-11-20,19:00,2023-08-23,57,1,2
Canucks vs. Islanders,11005EDDB63A314A,Rogers Arena,2023-11-15,19:00,2023-08-04,37,1,2
Canucks vs. Stars,11005EDDB6353133,Rogers Arena,2023-11-04,19:00,2023-08-10,65,1,2
Canucks vs. Blackhawks,11005D05E8BE532E,Rogers Arena,2023-04-06,19:00,2022-09-15,16,1,2
Canucks vs. Flames,11005D05E8B6531F,Rogers Arena,2023-03-31,19:00,2022-12-24,64,1,2
Canucks vs. Flyers,11005D05E89D52EF,Rogers Arena,2023-02-18,19:00,2022-09-30,41,1,2
Canucks vs. Vegas Golden Knights,11005B3CECF32D6A,Rogers Arena,2022-04-12,19:00,2021-12-24,10,1,2
Canucks vs. Devils,11005B3CECDF2D4E,Rogers Arena,2022-03-15,19:00,2021-10-09,27,1,2
Canucks vs. Sharks,11005723A12031DF,Rogers Arena,2022-03-13,19:00,2019-11-20,26,1,2
Canucks vs. Bruins,11005724CCEE3B00,Rogers Arena,2020-02-22,19:00,2019-12-06,106,1,2
Canucks vs. Coyotes,110056FDD5B33CCE,Rogers Arena,2019-09-26,19:00,2019-08-17,18,1,2
Canucks vs. Blackhawks,11005D05E8BE532E,Rogers Arena,2023-04-06,19:00,2022-09-01,25,1,3
Canucks vs. Coyotes,11005723A104316F,Rogers Arena,2020-01-16,19:00,2019-10-11,24,1,3
Canucks vs. Sharks,11005723A12031DF,Rogers Arena,2022-03-13,19:00,2019-10-29,17,1,4
Canucks vs. Bruins,11005724CCEE3B00,Rogers Arena,2020-02-22,19:00,2019-10-05,44,1,4
Canucks vs. Flames,11005D05E8B6531F,Rogers Arena,2023-03-31,19:00,2023-02-12,125,1,1
Canucks vs. Kings,11005EDDB5FC3087,Rogers Arena,2024-02-29,19:00,2023-08-27,10,1,6
Canucks vs. Predators,11005723A1333222,Rogers Arena,2019-11-12,19:00,2019-09-20,59,1,6
Canucks vs. Capitals,11005D05E8E1537C,Rogers Arena,2022-11-29,19:00,2022-10-09,72,1,7
Canucks vs. Blues,11005D05E8F253A5,Rogers Arena,2022-12-19,19:30,2022-12-11,464,12,34
Cancelled ticket due to 50% capacity Canucks vs Maple Leafs,11005B3CED2F2DAB,Rogers Arena,2022-02-12,16:00,2021-12-16,1907,6,11
Canucks vs. Kings,11005D05E8B95325,Rogers Arena,2023-04-02,17:00,2023-03-10,223,5,10
Canucks vs. Leafs,11005EDDB5E63009,Rogers Arena,2024-01-20,16:00,2023-11-19,597,4,6
Canucks vs. Jets,1100572384121F4E,Rogers Arena,2022-03-11,17:00,2020-02-18,215,3,4
Canucks vs. Kings,11005EDDB61030CC,Rogers Arena,2024-03-25,18:00,2023-11-24,92,3,6
Canucks vs. Leafs,11005526781831FC,Rogers Arena,2019-03-06,18:00,2018-12-25,111,2,5
Canucks vs. Vegas Golden Knights,11005B3CECED2D64,Rogers Arena,2022-04-03,16:00,2022-03-21,539,1,1
Canucks vs. Coyotes,11005EDDB61B30DB,Rogers Arena,2024-04-10,19:30,2024-03-22,372,1,3
Canucks vs. Avalanche,11005EDDB6023093,Rogers Arena,2024-03-13,19:30,2024-03-25,8,0,0
Canucks vs. Islanders,11005C3BA86D5CC4,Rogers Arena,2022-02-09,19:30,2022-02-10,35,0,0
Canucks vs. Bruins,11005EDDB5F63078,Rogers Arena,2024-02-24,16:00,2023-07-26,35,0,0
Canucks vs. Bruins,11005EDDB5F63078,Rogers Arena,2024-02-24,16:00,2024-01-22,988,0,0
Canucks vs. Bruins,11005D05E8A052F1,Rogers Arena,2023-02-25,16:00,2022-12-31,124,0,0
Canucks vs. Sabres,1100572383F91F3D,Rogers Arena,2019-12-07,13:00,2019-12-09,5,0,0
Canucks vs. Ducks,1100572384081F45,Rogers Arena,2020-02-16,14:00,2020-02-26,4,0,0
Canucks vs. Kings,11005EDDB61030CC,Rogers Arena,2024-03-25,18:00,2023-10-21,11,0,0
Canucks vs. Oilers,11005EDDB62030E5,Rogers Arena,2023-09-30,18:00,2023-10-13,3,0,0
Canucks vs. Oilers,11005B3CED042D7C,Rogers Arena,2021-10-09,18:00,2021-11-05,1,0,0
Canucks vs. Jets,1100572384121F4E,Rogers Arena,2022-03-11,17:00,2020-03-16,0,0,0
Canucks vs. Blues,11005EDDB5EB3038,Rogers Arena,2024-01-24,19:00,2023-08-13,6,0,0
Canucks vs. Stars,11005EDDB61230D0,Rogers Arena,2024-03-28,19:00,2023-09-09,5,0,0
Canucks vs. Jets,11005EDDB5F43070,Rogers Arena,2024-02-17,19:00,2024-02-29,5,0,0
Canucks vs. Blackhawks,11005D05E8BE532E,Rogers Arena,2023-04-06,19:00,2023-04-13,5,0,0
Canucks vs. Devils,11005B3CECDF2D4E,Rogers Arena,2022-03-15,19:00,2022-03-26,5,0,0
Canucks vs. Vegas Golden Knights,11005723841C1F52,Rogers Arena,2022-03-16,19:00,2020-04-14,7,0,0
Canucks vs. Panthers,11005EDDB6553192,Rogers Arena,2023-12-14,19:00,2023-12-23,8,0,0
Canucks vs. Rangers,11005526774D2CD6,Rogers Arena,2019-03-13,19:00,2018-11-16,11,0,0
Canucks vs. Lightning,11005D05E88B52BE,Rogers Arena,2023-01-18,19:00,2023-01-23,11,0,0
Canucks vs. Vegas Golden Knights,11005B3CECF32D6A,Rogers Arena,2022-04-12,19:00,2021-12-11,23,0,0
Canucks vs. Ducks,11005D05E8AA5309,Rogers Arena,2023-03-08,19:00,2022-11-18,21,0,0
Canucks vs. Wings,11005EDDB5F1305E,Rogers Arena,2024-02-15,19:00,2023-08-30,20,0,0
Canucks vs. Blackhawks,11005D05E8BE532E,Rogers Arena,2023-04-06,19:00,2022-12-08,33,0,0
Canucks vs. Oilers,11005724C2D637C4,Rogers Arena,2019-12-01,19:00,2019-09-20,80,0,0
Canucks vs. Devils,11005EDDB649316B,Rogers Arena,2023-12-05,19:00,2023-10-03,85,0,0
Canucks vs. Jets,11005EDDB5F43070,Rogers Arena,2024-02-17,19:00,2024-01-15,598,0,0
Canucks vs. Seattle Kraken,11005B3CECFA2D71,Rogers Arena,2022-04-26,19:00,2022-01-22,38,0,0
Canucks vs. Sharks,11005526768F2A33,Rogers Arena,2019-04-02,19:00,2018-12-31,19,0,0
Canucks vs. Sharks,11005EDDB6593198,Rogers Arena,2023-12-23,19:00,2023-09-18,55,0,0
Canucks vs. Flames,11005724C2CC37B1,Rogers Arena,2022-03-14,19:00,2019-10-13,20,0,0
Canucks vs. Blues,11005B95FC2140FF,Rogers Arena,2022-01-23,19:00,2022-01-27,4,0,0
Canucks vs. Penguins,11005B3CED202D9B,Rogers Arena,2021-12-04,19:00,2021-12-28,3,0,0
Canucks vs. Capitals,11005B3CECDA2D0F,Rogers Arena,2022-03-11,19:00,2022-03-23,2,0,0
Canucks vs. Devils,11005D05E8D4534E,Rogers Arena,2022-11-01,19:00,2022-11-27,2,0,0
Canucks vs. Ducks,11005B3CED352DAF,Rogers Arena,2022-02-19,19:00,2022-03-10,2,0,0
Canucks vs. Flames,11005EDDB6273103,Rogers Arena,2023-10-06,19:00,2023-11-05,1,0,0
Canucks vs. Senators,11005B95FC1B40F9,Rogers Arena,2022-04-19,19:00,2022-05-18,1,0,0
Canucks vs. Rangers,11005724C2BF37A3,Rogers Arena,2020-01-04,19:00,2020-01-31,1,0,0
Canucks vs. Leafs,11005724CCF33B08,Rogers Arena,2019-12-10,19:00,2019-12-17,1,0,0
Canucks vs. Wings,11005723A12431EC,Rogers Arena,2019-10-15,19:00,2019-11-04,0,0,0
